sql_keyword,special_char,comment_char,wildcard_char,escape_char,label
1,10,0,0,0,0
0,15,0,0,0,0
3,16,0,0,0,0
1,19,0,0,0,0
0,14,0,0,0,0
1,21,0,0,0,0
0,35,0,0,0,0
0,27,0,0,0,0
1,35,0,0,0,0
0,15,0,0,0,0
2,10,0,0,0,0
0,8,0,0,0,0
1,21,0,0,0,0
2,18,0,0,0,0
0,27,0,0,0,0
1,27,0,0,0,0
1,9,0,0,0,0
3,13,0,0,0,0
2,24,0,0,0,0
1,27,0,0,0,0
3,36,0,0,0,0
2,25,0,0,0,0
0,25,0,0,0,0
3,13,0,0,0,0
3,37,0,0,0,0
2,26,0,0,0,0
1,12,0,0,0,0
1,16,0,0,0,0
0,13,0,0,0,0
0,14,0,0,0,0
1,30,0,0,0,0
2,10,0,0,0,0
1,20,0,0,0,0
1,11,0,0,0,0
1,36,0,0,0,0
0,6,0,0,0,0
1,11,0,0,0,0
0,5,0,0,0,0
1,20,0,0,0,0
0,16,0,0,0,0
1,15,0,0,0,0
1,39,0,0,0,0
1,40,0,0,0,0
0,8,0,0,0,0
0,6,0,0,0,0
0,4,0,0,0,0
0,2,0,0,0,0
0,11,0,0,0,0
1,16,0,0,0,0
1,19,0,0,0,0
1,9,0,0,0,0
0,7,0,0,0,0
0,9,0,0,0,0
1,27,0,0,0,0
0,10,0,0,0,0
1,21,0,0,0,0
0,2,0,0,0,0
2,8,0,0,0,0
0,9,0,0,0,0
2,13,0,0,0,0
0,9,0,0,0,0
1,19,0,0,0,0
0,5,0,0,0,0
0,5,0,0,0,0
2,32,0,0,0,0
1,38,0,0,0,0
1,40,0,0,0,0
0,33,0,0,0,0
0,22,0,0,0,0
4,44,0,0,0,0
1,25,0,0,0,0
2,18,0,0,0,0
1,20,0,0,0,0
0,34,0,0,0,0
0,10,0,0,0,0
1,16,0,0,0,0
0,21,0,0,0,0
1,14,0,0,0,0
0,29,0,0,0,0
0,22,0,0,0,0
0,7,0,0,0,0
2,26,0,0,0,0
2,49,0,1,0,0
7,51,0,0,0,0
0,36,0,0,0,0
2,27,0,0,0,0
1,29,0,2,0,0
0,4,0,1,0,0
0,11,0,0,0,0
1,22,0,1,0,0
0,5,0,1,0,0
1,10,0,1,0,0
1,20,0,0,0,0
0,7,0,0,0,0
1,5,0,0,0,0
0,5,0,0,0,0
1,20,0,0,0,0
0,14,0,0,0,0
0,15,0,0,0,0
1,33,0,0,0,0
0,19,0,0,0,0
1,21,0,0,0,0
0,7,0,0,0,0
2,19,0,0,0,0
3,30,0,0,0,0
1,25,0,0,0,0
0,39,0,0,0,0
1,27,0,0,0,0
1,28,0,0,0,0
0,22,0,0,0,0
0,20,0,0,0,0
0,16,0,0,0,0
1,18,0,0,0,0
2,27,0,0,0,0
0,31,0,0,0,0
0,24,0,0,0,0
0,17,0,0,0,0
0,20,0,0,0,0
1,37,0,0,0,0
2,22,0,0,0,0
0,9,0,0,0,0
0,9,0,0,0,0
0,23,0,0,0,0
0,17,0,0,0,0
0,12,0,0,0,0
2,17,0,0,0,0
3,15,0,0,0,0
1,26,0,0,0,0
0,5,0,0,0,0
1,22,0,0,0,0
0,28,0,0,0,0
0,28,0,0,0,0
0,5,0,0,0,0
0,19,0,0,0,0
0,10,0,0,0,0
0,15,0,0,0,0
1,13,0,0,0,0
0,18,0,0,0,0
1,35,0,0,0,0
0,11,0,0,0,0
0,24,0,0,0,0
0,18,0,0,0,0
0,17,0,0,0,0
1,9,0,0,0,0
0,12,0,0,0,0
0,6,0,0,0,0
1,14,0,0,0,0
3,47,0,0,0,0
0,9,0,0,0,0
0,5,0,0,0,0
0,12,0,0,0,0
1,23,0,0,0,0
1,26,0,0,0,0
0,0,0,0,0,0
0,8,0,0,0,0
0,22,0,0,0,0
0,14,0,0,0,0
0,19,0,0,0,0
0,1,0,0,0,0
0,0,0,0,0,0
3,22,0,0,0,0
1,18,0,0,0,0
1,6,0,0,0,0
0,5,0,0,0,0
1,17,0,0,0,0
2,15,0,0,0,0
2,20,0,0,0,0
0,16,0,0,0,0
1,16,0,0,0,0
0,15,0,0,0,0
4,13,0,0,0,0
0,14,0,0,0,0
2,30,0,0,0,0
0,10,0,0,0,0
1,11,0,0,0,0
0,13,0,0,0,0
0,18,0,0,0,0
0,10,0,0,0,0
1,7,0,0,0,0
0,14,0,0,0,0
0,13,0,0,0,0
1,11,0,0,0,0
0,11,0,0,0,0
1,8,0,0,0,0
0,6,0,0,0,0
1,7,0,0,0,0
0,10,0,0,0,0
2,8,0,0,0,0
0,7,0,0,0,0
2,51,0,0,0,0
1,8,0,0,0,0
0,10,0,0,0,0
0,20,0,0,0,0
0,29,0,0,0,0
0,26,0,0,0,0
3,14,0,0,0,0
0,13,0,0,0,0
0,13,0,0,0,0
0,15,0,1,0,0
0,5,0,0,0,0
1,10,0,0,0,0
2,21,1,0,0,0
0,12,0,0,0,0
0,7,0,0,0,0
1,39,0,0,0,0
4,33,0,0,0,0
0,24,0,0,0,0
0,9,0,0,0,0
1,16,0,0,0,0
0,20,0,0,0,0
0,25,0,0,0,0
2,19,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,4,0,0,0,0
1,24,0,0,0,0
0,8,0,0,0,0
0,18,0,0,0,0
2,27,0,0,0,0
0,16,0,0,0,0
0,3,0,0,0,0
1,10,0,0,0,0
1,12,0,0,0,0
0,19,0,0,0,0
0,22,0,1,0,0
0,7,0,0,0,0
1,15,0,0,0,0
1,18,0,0,0,0
0,16,0,0,0,0
0,7,0,0,0,0
0,13,0,0,0,0
0,9,0,0,0,0
1,8,0,0,0,0
2,25,0,0,0,0
0,7,0,0,0,0
1,7,0,0,0,0
0,10,0,0,0,0
2,25,0,0,0,0
1,26,0,0,0,0
1,9,0,0,0,0
1,22,0,0,0,0
1,20,0,0,0,0
1,11,0,0,0,0
0,11,0,0,0,0
2,13,0,0,0,0
1,34,0,0,0,0
2,25,0,0,0,0
0,23,0,0,0,0
0,13,0,0,0,0
1,17,0,0,0,0
1,36,0,0,0,0
0,25,0,0,0,0
0,9,0,0,0,0
1,36,0,0,0,0
1,28,0,0,0,0
0,25,0,0,0,0
3,46,0,0,0,0
0,29,0,0,0,0
0,20,0,0,0,0
0,20,0,0,0,0
0,8,0,0,0,0
1,13,0,0,0,0
1,15,0,0,0,0
0,19,0,0,0,0
1,11,0,0,0,0
0,32,0,0,0,0
0,13,0,0,0,0
0,15,0,0,0,0
2,29,0,0,0,0
1,11,0,0,0,0
1,15,0,0,0,0
0,18,0,0,0,0
0,15,0,0,0,0
0,43,0,0,0,0
0,13,0,0,0,0
0,11,0,0,0,0
0,13,0,0,0,0
0,14,0,0,0,0
0,7,0,0,0,0
0,6,0,0,0,0
0,26,0,0,0,0
0,7,0,0,0,0
0,14,0,0,0,0
0,20,0,0,0,0
1,49,0,0,0,0
0,10,0,0,0,0
0,21,0,0,0,0
0,11,0,0,0,0
0,16,0,0,0,0
2,12,0,0,0,0
3,36,0,0,0,0
1,24,0,0,0,0
0,29,0,0,0,0
0,13,0,0,0,0
0,8,0,0,0,0
1,26,0,0,0,0
1,25,0,0,0,0
3,38,0,0,0,0
2,30,0,0,0,0
2,33,0,0,0,0
4,42,0,0,0,0
1,18,0,0,0,0
1,6,0,0,0,0
0,10,0,0,0,0
0,29,0,0,0,0
0,36,0,0,0,0
0,20,0,0,0,0
2,18,0,0,0,0
2,25,0,0,0,0
4,21,0,0,0,0
3,33,0,0,0,0
3,24,0,0,0,0
0,21,0,0,0,0
0,14,0,0,0,0
0,9,0,0,0,0
3,31,0,0,0,0
1,25,0,0,0,0
0,15,0,0,0,0
0,20,0,0,0,0
0,18,0,0,0,0
0,6,0,0,0,0
0,0,0,0,0,0
2,28,0,0,0,0
0,0,0,0,0,0
1,5,0,0,0,0
0,11,0,0,0,0
1,14,0,0,0,0
1,35,0,0,0,0
0,9,0,0,0,0
1,14,0,0,0,0
0,2,0,0,0,0
0,0,0,0,0,0
0,6,0,0,0,0
0,9,0,0,0,0
0,19,0,0,0,0
0,24,0,0,0,0
0,15,0,0,0,0
0,3,0,0,0,0
0,4,0,0,0,0
1,7,0,0,0,0
1,30,0,0,0,0
0,34,0,0,0,0
2,15,0,0,0,0
0,17,0,0,0,0
0,30,0,0,0,0
1,16,0,0,0,0
2,17,0,0,0,0
0,4,0,0,0,0
1,29,0,0,0,0
1,10,0,0,0,0
0,12,0,0,0,0
0,9,0,0,0,0
0,18,0,0,0,0
0,15,0,0,0,0
1,16,0,0,0,0
1,20,0,0,0,0
2,9,0,0,0,0
1,20,0,0,0,0
2,22,0,0,0,0
3,10,0,0,0,0
1,8,0,0,0,0
0,21,0,0,0,0
0,10,0,0,0,0
0,29,0,0,0,0
0,5,0,0,0,0
0,0,0,0,0,0
0,13,0,0,0,0
0,8,0,0,0,0
0,14,0,0,0,0
2,22,0,0,0,0
2,23,2,0,0,0
0,11,0,0,0,0
1,12,0,0,0,0
2,39,0,0,0,0
0,13,0,0,0,0
0,11,0,0,0,0
0,12,0,0,0,0
1,13,0,0,0,0
1,32,0,0,0,0
0,8,0,0,0,0
2,28,0,0,0,0
1,15,0,0,0,0
1,10,0,0,0,0
2,7,0,0,0,0
5,22,0,0,0,0
3,24,0,0,0,0
4,31,0,0,0,0
0,11,0,0,0,0
2,18,0,0,0,0
0,9,0,0,0,0
2,38,0,0,0,0
1,14,0,0,0,0
1,25,0,0,0,0
2,15,0,0,0,0
3,10,0,0,0,0
1,41,0,0,0,0
2,11,0,0,0,0
1,22,0,0,0,0
3,21,0,0,0,0
1,27,0,0,0,0
0,25,0,0,0,0
2,9,0,0,0,0
1,23,0,0,0,0
1,27,0,0,0,0
0,9,0,0,0,0
1,30,0,0,0,0
0,16,0,0,0,0
0,11,0,0,0,0
1,10,0,0,0,0
1,11,0,0,0,0
0,18,0,0,0,0
0,13,0,0,0,0
0,9,0,0,0,0
0,15,0,0,0,0
1,15,0,0,0,0
0,8,0,0,0,0
1,13,0,0,0,0
0,19,0,0,0,0
0,7,0,0,0,0
1,15,0,0,0,0
2,12,0,0,0,0
0,16,0,0,0,0
0,13,0,0,0,0
1,10,0,0,0,0
5,34,0,0,0,0
3,38,0,0,0,0
1,4,0,0,0,0
2,17,0,0,0,0
2,16,0,0,0,0
1,24,0,0,0,0
4,27,0,0,0,0
3,23,0,0,0,0
4,33,0,0,0,0
0,5,0,0,0,0
0,19,0,0,0,0
2,24,0,0,0,0
4,43,0,0,0,0
3,24,0,0,0,0
1,14,0,0,0,0
2,27,0,0,0,0
2,23,0,0,0,0
4,39,0,0,0,0
0,28,0,0,0,0
2,10,0,0,0,0
0,19,0,0,0,0
1,13,0,0,0,0
4,18,0,0,0,0
1,14,0,0,0,0
2,21,0,0,0,0
1,12,0,0,0,0
0,11,0,0,0,0
2,15,0,0,0,0
0,2,0,0,0,0
0,0,0,0,0,0
5,24,0,0,0,0
0,13,0,0,0,0
1,19,0,0,0,0
1,11,0,0,0,0
1,7,0,0,0,0
0,16,0,0,0,0
1,18,0,0,0,0
3,29,0,0,0,0
2,34,0,0,0,0
2,29,0,0,0,0
2,15,0,0,0,0
2,33,0,0,0,0
1,22,0,0,0,0
3,29,0,0,0,0
2,31,0,0,0,0
1,28,0,0,0,0
1,14,0,0,0,0
0,14,0,0,0,0
0,17,0,0,0,0
0,18,0,0,0,0
0,34,0,0,0,0
5,36,0,0,0,0
2,16,0,0,0,0
0,14,0,0,0,0
2,16,0,0,0,0
2,15,0,0,0,0
1,45,2,0,0,0
2,22,0,0,0,0
1,19,0,0,0,0
1,27,0,0,0,0
2,22,0,0,0,0
6,43,0,0,0,0
1,18,0,0,0,0
0,25,0,0,0,0
1,22,0,0,0,0
1,17,0,0,0,0
1,8,0,0,0,0
2,24,0,0,0,0
0,6,0,0,0,0
2,32,0,0,0,0
0,5,0,0,0,0
4,38,0,0,0,0
2,23,0,0,0,0
2,36,0,0,0,0
1,24,0,0,0,0
1,10,0,0,0,0
1,9,0,0,0,0
2,34,0,0,0,0
1,8,0,0,0,0
0,13,0,0,0,0
1,8,0,0,0,0
1,13,0,0,0,0
0,9,0,0,0,0
0,20,0,0,0,0
2,9,0,0,0,0
1,6,0,0,0,0
2,8,0,0,0,0
1,11,0,0,0,0
0,8,0,0,0,0
0,9,0,0,0,0
1,14,0,0,0,0
0,11,0,0,0,0
0,20,0,0,0,0
0,16,0,0,0,0
0,5,0,0,0,0
1,17,0,0,0,0
0,22,0,0,0,0
1,8,0,0,0,0
1,25,0,0,0,0
1,7,0,0,0,0
0,5,0,0,0,0
0,27,0,0,0,0
3,22,0,0,0,0
0,26,0,0,0,0
1,23,0,0,0,0
1,15,0,0,0,0
0,12,0,0,0,0
0,19,0,0,0,0
1,9,0,0,0,0
0,11,0,0,0,0
0,9,0,0,0,0
0,14,0,0,0,0
3,15,0,0,0,0
0,19,0,0,0,0
0,6,0,0,0,0
1,16,0,0,0,0
1,34,0,0,0,0
1,20,0,0,0,0
0,7,0,0,0,0
0,18,0,0,0,0
1,9,0,0,0,0
0,18,0,0,0,0
2,15,0,0,0,0
0,10,0,0,0,0
0,13,0,0,0,0
0,7,0,0,0,0
1,36,0,0,0,0
0,15,0,0,0,0
1,19,0,0,0,0
0,10,0,0,0,0
2,23,0,0,0,0
0,7,0,0,0,0
4,21,0,0,0,0
1,19,0,0,0,0
0,5,0,0,0,0
1,24,0,0,0,0
1,8,0,0,0,0
1,7,0,0,0,0
1,7,0,0,0,0
0,10,0,0,0,0
1,11,0,0,0,0
1,13,0,0,0,0
1,7,0,0,0,0
2,20,0,0,0,0
1,17,0,0,0,0
1,22,0,0,0,0
1,38,0,0,0,0
1,29,0,0,0,0
1,29,0,0,0,0
0,21,0,0,0,0
1,26,0,0,0,0
1,28,0,0,0,0
0,6,0,0,0,0
0,8,0,0,0,0
0,23,0,0,0,0
3,24,0,0,0,0
1,13,0,0,0,0
0,17,0,0,0,0
1,19,0,0,0,0
2,38,0,0,0,0
0,4,0,0,0,0
2,20,0,0,0,0
0,5,0,0,0,0
0,18,2,0,0,0
0,21,0,0,0,0
1,23,0,0,0,0
1,9,0,0,0,0
0,14,0,0,0,0
0,12,0,0,0,0
1,14,0,0,0,0
4,50,0,0,0,0
0,18,0,0,0,0
3,49,0,0,0,0
1,42,0,0,0,0
0,10,0,0,0,0
0,1,0,0,0,0
0,0,0,0,0,0
0,3,0,0,0,0
0,8,0,0,0,0
0,4,0,0,0,0
1,4,0,0,0,0
2,58,0,0,0,0
1,11,0,0,0,0
2,20,0,0,0,0
1,34,0,0,0,0
0,7,0,0,0,0
0,11,0,0,0,0
0,18,0,0,0,0
0,21,0,0,0,0
1,28,0,0,0,0
0,14,0,0,0,0
1,23,0,0,0,0
4,21,0,0,0,0
4,58,0,0,0,0
1,40,0,0,0,0
1,21,0,0,0,0
2,33,0,0,0,0
1,12,0,0,0,0
2,36,0,0,0,0
0,5,0,0,0,0
1,28,0,0,0,0
1,24,0,0,0,0
0,15,0,0,0,0
1,14,0,0,0,0
1,8,0,0,0,0
1,17,0,0,0,0
0,29,0,0,0,0
0,16,0,0,0,0
4,41,0,0,0,0
2,34,0,0,0,0
0,45,0,0,0,0
0,6,0,0,0,0
2,16,0,0,0,0
1,14,0,0,0,0
1,26,0,0,0,0
1,8,0,0,0,0
2,34,0,0,0,0
1,20,0,0,0,0
1,22,0,0,0,0
3,13,0,0,0,0
1,12,0,0,0,0
1,31,0,0,0,0
0,5,0,0,0,0
2,39,0,0,0,0
1,5,0,0,0,0
1,22,0,0,0,0
0,9,0,0,0,0
0,20,0,0,0,0
0,12,0,0,0,0
0,9,0,0,0,0
0,5,0,0,0,0
1,9,0,0,0,0
1,36,0,0,0,0
2,30,0,0,0,0
1,23,0,0,0,0
1,6,0,0,0,0
0,23,0,0,0,0
2,45,0,0,0,0
3,19,1,0,0,0
3,17,0,0,0,0
1,24,0,0,0,0
0,2,0,0,0,0
0,0,0,0,0,0
1,32,0,0,0,0
2,19,0,0,0,0
0,27,0,0,0,0
0,5,0,0,0,0
3,19,0,0,0,0
0,15,0,0,0,0
1,29,0,0,0,0
0,26,0,0,0,0
1,15,0,0,0,0
2,10,0,0,0,0
0,11,0,0,0,0
1,38,2,0,0,0
1,23,0,0,0,0
0,24,0,0,0,0
0,19,0,0,0,0
0,12,0,0,0,0
0,7,0,0,0,0
1,10,0,0,0,0
2,22,0,0,0,0
1,23,0,0,0,0
3,23,0,0,0,0
2,18,0,0,0,0
1,7,0,0,0,0
0,17,0,0,0,0
0,0,0,0,0,0
0,9,0,0,0,0
0,7,0,0,0,0
2,11,0,0,0,0
1,4,0,0,0,0
0,10,1,0,0,0
1,12,0,0,0,0
0,16,0,0,0,0
0,4,0,0,0,0
2,16,0,0,0,0
5,27,0,0,0,0
0,33,0,0,0,0
0,5,0,0,0,0
0,12,0,0,0,0
0,11,0,0,0,0
2,17,0,0,0,0
0,19,0,0,0,0
0,5,0,0,0,0
0,7,0,0,0,0
0,8,0,0,0,0
0,2,0,0,0,0
2,31,0,0,0,0
2,18,0,0,0,0
2,11,0,0,0,0
0,7,0,0,0,0
0,14,0,0,0,0
0,11,0,0,0,0
0,19,0,0,0,0
0,20,0,0,0,0
0,18,1,0,0,0
0,6,0,0,0,0
0,8,0,0,0,0
0,25,0,0,0,0
2,17,1,0,0,0
0,6,0,0,0,0
0,23,0,0,0,0
0,7,0,0,0,0
0,25,0,0,0,0
2,15,0,0,0,0
1,7,0,0,0,0
0,13,0,0,0,0
0,23,0,0,0,0
1,20,0,0,0,0
3,14,0,0,0,0
1,19,0,0,0,0
1,18,0,0,0,0
0,16,0,0,0,0
0,8,0,0,0,0
1,19,0,0,0,0
0,10,0,0,0,0
1,11,0,0,0,0
2,12,0,0,0,0
1,7,0,0,0,0
2,41,0,0,0,0
3,15,0,0,0,0
0,18,0,0,0,0
0,26,0,0,0,0
0,4,0,0,0,0
1,16,0,0,0,0
0,17,0,0,0,0
1,14,0,0,0,0
1,21,0,0,0,0
3,17,0,0,0,0
0,6,0,0,0,0
3,40,0,0,0,0
1,24,0,0,0,0
3,30,0,0,0,0
0,19,0,0,0,0
1,24,0,0,0,0
0,21,0,0,0,0
2,32,0,0,0,0
2,13,0,0,0,0
0,6,0,0,0,0
2,19,0,0,0,0
1,27,0,0,0,0
2,37,0,0,0,0
3,17,0,0,0,0
2,12,0,0,0,0
3,32,0,0,0,0
0,24,0,0,0,0
3,16,0,0,0,0
3,25,0,0,0,0
0,23,0,0,0,0
0,6,0,0,0,0
0,6,0,0,0,0
0,2,0,0,0,0
1,17,0,0,0,0
2,15,0,0,0,0
1,5,0,0,0,0
0,16,0,0,0,0
0,13,0,0,0,0
1,26,0,0,0,0
0,20,0,0,0,0
1,21,0,0,0,0
0,9,0,0,0,0
0,10,0,0,0,0
1,19,0,0,0,0
0,11,0,0,0,0
0,2,0,0,0,0
0,5,0,0,0,0
0,4,0,0,0,0
1,14,0,0,0,0
1,6,0,0,0,0
3,20,0,0,0,0
0,14,0,0,0,0
0,0,0,0,0,0
0,8,0,0,0,0
1,21,0,0,0,0
0,20,0,0,0,0
0,15,0,0,0,0
1,21,0,0,0,0
0,5,0,0,0,0
0,12,0,0,0,0
1,15,0,0,0,0
1,14,0,0,0,0
1,11,0,0,0,0
0,17,0,0,0,0
0,7,0,0,0,0
0,4,0,0,0,0
0,6,0,0,0,0
0,4,0,0,0,0
1,8,0,0,0,0
1,6,0,0,0,0
0,4,0,0,0,0
0,10,0,0,0,0
4,36,0,0,0,0
0,3,0,0,0,0
0,0,0,0,0,0
0,14,0,0,0,0
0,14,0,0,0,0
2,21,0,0,0,0
0,9,0,0,0,0
0,13,0,0,0,0
0,0,0,0,0,0
0,18,0,0,0,0
2,21,0,0,0,0
5,29,0,0,0,0
2,20,0,0,0,0
1,16,0,0,0,0
1,11,0,0,0,0
4,30,0,0,0,0
1,16,0,0,0,0
3,28,0,0,0,0
3,24,0,0,0,0
2,23,0,0,0,0
2,34,0,0,0,0
1,21,0,0,0,0
1,8,0,0,0,0
3,22,0,0,0,0
0,23,0,0,0,0
0,17,0,0,0,0
0,18,0,0,0,0
3,26,0,0,0,0
0,24,0,0,0,0
1,25,0,0,0,0
0,14,0,0,0,0
0,6,0,0,0,0
0,25,0,0,0,0
0,7,0,0,0,0
0,7,0,0,0,0
4,28,0,0,0,0
0,6,0,0,0,0
2,21,0,0,0,0
0,12,0,0,0,0
2,15,0,0,0,0
0,9,0,0,0,0
0,19,0,0,0,0
2,27,0,0,0,0
1,25,0,0,0,0
2,27,0,0,0,0
1,25,0,0,0,0
0,12,0,0,0,0
1,17,0,0,0,0
1,11,0,0,0,0
0,26,0,0,0,0
0,8,0,0,0,0
0,17,0,0,0,0
0,15,0,0,0,0
0,4,0,0,0,0
1,24,0,0,0,0
1,7,0,0,0,0
4,38,0,0,0,0
0,37,0,0,0,0
1,36,0,0,0,0
0,27,0,0,0,0
0,21,0,0,0,0
0,22,0,0,0,0
0,7,0,0,0,0
0,3,0,0,0,0
0,19,0,0,0,0
0,16,0,0,0,0
1,17,0,0,0,0
0,4,0,0,0,0
0,8,0,0,0,0
0,6,0,0,0,0
0,8,0,0,0,0
1,6,0,0,0,0
1,19,0,0,0,0
3,18,0,0,0,0
3,25,0,0,0,0
1,38,0,0,0,0
1,38,0,0,0,0
0,12,0,0,0,0
0,7,0,0,0,0
0,13,0,0,0,0
0,10,0,0,0,0
1,17,0,0,0,0
0,18,0,0,0,0
4,31,0,0,0,0
0,26,0,0,0,0
0,13,0,0,0,0
0,11,0,0,0,0
0,4,0,0,0,0
0,24,0,0,0,0
0,22,0,0,0,0
0,6,0,0,0,0
0,6,0,0,0,0
1,10,0,0,0,0
1,16,0,0,0,0
0,12,0,0,0,0
0,14,0,0,0,0
0,7,0,0,0,0
0,10,0,0,0,0
1,11,0,0,0,0
0,9,0,0,0,0
0,15,0,0,0,0
1,6,0,0,0,0
1,22,0,0,0,0
0,11,0,0,0,0
0,10,0,0,0,0
1,8,0,0,0,0
0,15,0,0,0,0
0,19,0,0,0,0
0,6,0,0,0,0
0,9,0,0,0,0
2,27,0,0,0,0
0,7,0,0,0,0
0,18,0,0,0,0
2,19,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,0,0,0,0,0
0,6,0,0,0,0
0,13,0,0,0,0
0,4,0,0,0,0
0,10,0,0,0,0
5,33,0,0,0,0
1,25,0,0,0,0
5,30,0,0,0,0
4,43,0,0,0,0
2,22,0,0,0,0
1,14,0,0,0,0
1,25,0,0,0,0
1,31,0,0,0,0
2,22,0,0,0,0
1,21,0,0,0,0
1,22,0,0,0,0
2,11,0,0,0,0
3,21,0,0,0,0
3,26,0,0,0,0
0,7,0,0,0,0
1,8,0,0,0,0
1,16,0,0,0,0
0,7,0,0,0,0
2,15,0,0,0,0
0,11,0,0,0,0
0,5,0,0,0,0
0,12,0,0,0,0
0,19,0,0,0,0
0,10,0,0,0,0
1,12,0,0,0,0
1,7,0,0,0,0
0,9,0,0,0,0
1,13,0,0,0,0
0,7,0,0,0,0
0,10,0,0,0,0
2,12,0,0,0,0
0,4,0,0,0,0
1,16,0,0,0,0
3,14,0,0,0,0
0,10,0,0,0,0
0,8,0,0,0,0
2,10,0,0,0,0
2,53,0,0,0,0
3,19,0,0,0,0
2,24,0,0,0,0
0,12,0,0,0,0
1,30,0,0,0,0
2,30,0,0,0,0
2,17,0,0,0,0
1,8,0,0,0,0
2,13,0,0,0,0
0,7,0,0,0,0
0,28,0,0,0,0
2,18,0,0,0,0
2,14,0,0,0,0
0,13,0,0,0,0
1,7,0,0,0,0
1,27,0,0,0,0
1,5,0,0,0,0
0,8,0,0,0,0
0,9,0,0,0,0
2,6,0,0,0,0
1,16,0,0,0,0
2,15,0,0,0,0
2,12,0,0,0,0
0,11,0,0,0,0
0,13,0,0,0,0
0,18,0,0,0,0
0,12,0,0,0,0
1,18,0,0,0,0
0,26,0,0,0,0
1,24,0,0,0,0
1,23,0,0,0,0
1,27,0,0,0,0
0,4,0,0,0,0
1,23,1,0,0,0
1,33,0,0,0,0
3,33,0,0,0,0
3,14,0,0,0,0
1,21,0,0,0,0
1,20,0,0,0,0
1,10,0,0,0,0
2,22,0,0,0,0
1,12,0,0,0,0
3,23,0,0,0,0
0,6,0,0,0,0
1,17,0,0,0,0
0,16,0,0,0,0
0,14,1,0,0,0
0,28,1,0,0,0
1,34,0,0,0,0
2,37,0,0,0,0
5,26,0,0,0,0
1,19,0,0,0,0
0,7,0,0,0,0
1,37,0,0,0,0
2,33,0,0,0,0
0,18,0,0,0,0
2,15,0,0,0,0
2,24,0,0,0,0
4,16,0,0,0,0
1,15,0,0,0,0
0,27,0,0,0,0
0,34,0,0,0,0
3,32,0,0,0,0
1,13,0,0,0,0
2,26,0,0,0,0
0,5,0,0,0,0
0,16,0,0,0,0
0,14,0,0,0,0
1,17,0,0,0,0
3,15,0,0,0,0
0,5,0,0,0,0
3,23,0,0,0,0
2,14,0,0,0,0
0,6,0,0,0,0
